Name,Team,Position,PositionExp,PositionGrp,Side,Age,Height,Weight,Years,Playtime,College,Jersey
Dustin Colquitt,Kansas City,P,Punter,Special Teams,Special Teams,34,75,210,12,9-12 Yrs,Tennessee,2
Cairo Santos,Kansas City,PK,Place Kicker,Special Teams,Special Teams,24,68,160,3,1-4 Yrs,Tulane,5
Aaron Murray,Kansas City,QB,Quarterback,QB,Offense,25,73,207,3,1-4 Yrs,Georgia,7
Kevin Hogan,Kansas City,QB,Quarterback,QB,Offense,23,75,217,0,Rookie,Stanford,8
Alex Smith,Kansas City,QB,Quarterback,QB,Offense,32,76,217,12,9-12 Yrs,Utah,11
Tyler Bray,Kansas City,QB,Quarterback,QB,Offense,24,78,215,3,1-4 Yrs,Tennessee,9
De'Anthony Thomas,Kansas City,RB,Running Back,Tailback,Offense,23,68,176,3,1-4 Yrs,Oregon,13
Charcandrick West,Kansas City,RB,Running Back,Tailback,Offense,25,70,205,3,1-4 Yrs,Abilene Christian,35
Knile Davis,Kansas City,RB,Running Back,Tailback,Offense,24,70,227,4,1-4 Yrs,Arkansas,34
Spencer Ware,Kansas City,RB,Running Back,Tailback,Offense,24,70,228,3,1-4 Yrs,LSU,32
Darrin Reaves,Kansas City,RB,Running Back,Tailback,Offense,23,70,215,2,1-4 Yrs,UAB,1
Jamaal Charles,Kansas City,RB,Running Back,Tailback,Offense,29,71,199,9,9-12 Yrs,Texas,25
Stevie Brown,Kansas City,S,Safety,Defensive Back,Defense,29,71,215,6,5-8 Yrs,Michigan,27
Ron Parker,Kansas City,SS,Strong Safety,Defensive Back,Defense,28,72,206,6,5-8 Yrs,Newberry,38
Eric Berry,Kansas City,SS,Strong Safety,Defensive Back,Defense,27,72,212,7,5-8 Yrs,Tennessee,29
Donald Washington,Kansas City,SS,Strong Safety,Defensive Back,Defense,29,73,197,3,1-4 Yrs,Ohio State,27
James O'Shaughnessy,Kansas City,TE,Tight End,Tight End,Offense,24,76,245,2,1-4 Yrs,Illinois State,80
Brian Parker,Kansas City,TE,Tight End,Tight End,Offense,24,76,265,2,1-4 Yrs,Albany,82
Travis Kelce,Kansas City,TE,Tight End,Tight End,Offense,26,77,260,4,1-4 Yrs,Cincinnati,87
Demetrius Harris,Kansas City,TE,Tight End,Tight End,Offense,24,79,230,3,1-4 Yrs,NA,84
Ross Travis,Kansas City,TE,Tight End,Tight End,Offense,23,79,235,1,1-4 Yrs,Penn State,89
Jeremy Maclin,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,28,72,198,8,5-8 Yrs,Missouri,19
Da'Ron Brown,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,24,72,199,1,1-4 Yrs,Northern Illinois,4
Kashif Moore,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,27,69,180,1,1-4 Yrs,Connecticut,89
Albert Wilson,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,24,69,200,3,1-4 Yrs,Georgia State,12
Tyreek Hill,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,22,70,185,0,Rookie,West Alabama,11
Frankie Hammond,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,26,73,184,3,1-4 Yrs,Florida,85
Demarcus Robinson,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,21,73,204,0,Rookie,Florida,11
Mike Williams,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,29,74,212,6,5-8 Yrs,Syracuse,15
Rod Streater,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,28,74,195,5,5-8 Yrs,Temple,80
Chris Conley,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,23,74,205,2,1-4 Yrs,Georgia,17
Kenny Cook,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,24,76,218,1,1-4 Yrs,Gardner-Webb,6
Mitch Mathews,Kansas City,WR,Wide Receiver,Wide Receiver,Offense,25,78,205,0,Rookie,BYU,10
Jake McQuaide,Los Angeles,C,Center,Offensive Line,Offense,28,74,244,6,5-8 Yrs,Ohio State,44
Demetrius Rhaney,Los Angeles,C,Center,Offensive Line,Offense,24,74,301,3,1-4 Yrs,Tennessee State,65
Tim Barnes,Los Angeles,C,Center,Offensive Line,Offense,28,76,306,5,5-8 Yrs,Missouri,61
Brian Folkerts,Los Angeles,C,Center,Offensive Line,Offense,26,76,310,4,1-4 Yrs,Washburn,67
Eric Kush,Los Angeles,C,Center,Offensive Line,Offense,26,76,313,4,1-4 Yrs,California (PA),60
Marcus Roberson,Los Angeles,CB,Cornerback,Defensive Back,Defense,23,72,191,3,1-4 Yrs,Florida,47
Winston Rose,Los Angeles,CB,Cornerback,Defensive Back,Defense,22,72,180,0,Rookie,New Mexico State,NA
Lamarcus Joyner,Los Angeles,CB,Cornerback,Defensive Back,Defense,25,68,184,3,1-4 Yrs,Florida State,20
E.J. Gaines,Los Angeles,CB,Cornerback,Defensive Back,Defense,24,70,190,3,1-4 Yrs,Missouri,33
Coty Sensabaugh,Los Angeles,CB,Cornerback,Defensive Back,Defense,27,71,187,5,5-8 Yrs,Clemson,21
Trumaine Johnson,Los Angeles,CB,Cornerback,Defensive Back,Defense,26,74,208,5,5-8 Yrs,Montana,22
Michael Jordan,Los Angeles,DB,Defensive Back,Defensive Back,Defense,23,72,200,0,Rookie,Missouri Western,NA
Brian Randolph,Los Angeles,DB,Defensive Back,Defensive Back,Defense,23,72,198,0,Rookie,Tennessee,NA
Troy Hill,Los Angeles,DB,Defensive Back,Defensive Back,Defense,24,70,182,1,1-4 Yrs,Oregon,32
Rohan Gaines,Los Angeles,DB,Defensive Back,Defensive Back,Defense,23,71,185,0,Rookie,Arkansas,NA
William Hayes,Los Angeles,DE,Defensive End,Front Seven,Defense,31,75,278,9,9-12 Yrs,Winston-Salem,95
Matt Longacre,Los Angeles,DE,Defensive End,Front Seven,Defense,24,75,260,2,1-4 Yrs,Northwest Missouri State,63
Robert Quinn,Los Angeles,DE,Defensive End,Front Seven,Defense,26,76,264,6,5-8 Yrs,North Carolina,94
Eugene Sims,Los Angeles,DE,Defensive End,Front Seven,Defense,30,78,269,7,5-8 Yrs,West Texas A&M,97
Quinton Coples,Los Angeles,DE,Defensive End,Front Seven,Defense,26,78,290,5,5-8 Yrs,North Carolina,98
Aaron Donald,Los Angeles,DT,Defensive Tackle,Front Seven,Defense,25,73,285,3,1-4 Yrs,Pittsburgh,99
Louis Trinca-Pasat,Los Angeles,DT,Defensive Tackle,Front Seven,Defense,24,73,292,1,1-4 Yrs,Iowa,62
Cam Thomas,Los Angeles,DT,Defensive Tackle,Front Seven,Defense,29,76,335,7,5-8 Yrs,North Carolina,NA
Ethan Westbrooks,Los Angeles,DT,Defensive Tackle,Front Seven,Defense,25,76,267,3,1-4 Yrs,West Texas A&M,93
Morgan Fox,Los Angeles,DT,Defensive Tackle,Front Seven,Defense,21,76,259,0,Rookie,Colorado State,NA
Michael Brockers,Los Angeles,DT,Defensive Tackle,Front Seven,Defense,25,77,326,5,5-8 Yrs,LSU,90
Jamon Brown,Los Angeles,G,Guard,Offensive Line,Offense,23,76,323,2,1-4 Yrs,Louisville,68
Rodger Saffold,Los Angeles,G,Guard,Offensive Line,Offense,28,77,332,7,5-8 Yrs,Indiana,76
Cody Wichmann,Los Angeles,G,Guard,Offensive Line,Offense,24,77,319,2,1-4 Yrs,Fresno State,69
Garrett Reynolds,Los Angeles,G,Guard,Offensive Line,Offense,29,79,305,8,5-8 Yrs,North Carolina,71
Cameron Lynch,Los Angeles,LB,Linebacker,Front Seven,Defense,22,72,229,2,1-4 Yrs,Syracuse,50
Nicholas Grigsby,Los Angeles,LB,Linebacker,Front Seven,Defense,24,73,220,0,Rookie,Pittsburgh,NA
Bryce Hager,Los Angeles,LB,Linebacker,Front Seven,Defense,24,73,235,2,1-4 Yrs,Baylor,54
Brandon Chubb,Los Angeles,LB,Linebacker,Front Seven,Defense,22,73,240,0,Rookie,Wake Forest,NA
Alec Ogletree,Los Angeles,LB,Linebacker,Front Seven,Defense,24,74,245,4,1-4 Yrs,Georgia,52
Ian Seau,Los Angeles,LB,Linebacker,Front Seven,Defense,23,74,256,0,Rookie,Nevada,NA
Darreon Herring,Los Angeles,LB,Linebacker,Front Seven,Defense,22,74,227,0,Rookie,Vanderbilt,NA
Josh Forrest,Los Angeles,LB,Linebacker,Front Seven,Defense,NA,75,249,0,Rookie,Kentucky,45
Akeem Ayers,Los Angeles,LB,Linebacker,Front Seven,Defense,27,75,255,6,5-8 Yrs,UCLA,56
Cory Littleton,Los Angeles,LB,Linebacker,Front Seven,Defense,22,75,238,0,Rookie,Washington,NA
Darrell Williams,Los Angeles,OT,Offensive Tackle,Offensive Line,Offense,22,76,301,2,1-4 Yrs,South Florida,63
Greg Robinson,Los Angeles,OT,Offensive Tackle,Offensive Line,Offense,23,77,332,3,1-4 Yrs,Auburn,73
Andrew Donnal,Los Angeles,OT,Offensive Tackle,Offensive Line,Offense,24,78,316,2,1-4 Yrs,Iowa,64
Robert Havenstein,Los Angeles,OT,Offensive Tackle,Offensive Line,Offense,24,79,321,2,1-4 Yrs,Wisconsin,79
Isaiah Battle,Los Angeles,OT,Offensive Tackle,Offensive Line,Offense,23,79,290,2,1-4 Yrs,Clemson,77
Jordan Swindle,Los Angeles,OT,Offensive Tackle,Offensive Line,Offense,22,79,304,0,Rookie,Kentucky,NA
Johnny Hekker,Los Angeles,P,Punter,Special Teams,Special Teams,26,77,236,5,5-8 Yrs,Oregon State,6
Greg Zuerlein,Los Angeles,PK,Place Kicker,Special Teams,Special Teams,28,72,196,5,5-8 Yrs,Missouri Western,4
Taylor Bertolet,Los Angeles,PK,Place Kicker,Special Teams,Special Teams,23,69,174,0,Rookie,Texas A&M,NA
Case Keenum,Los Angeles,QB,Quarterback,QB,Offense,28,73,205,5,5-8 Yrs,Houston,17
Dylan Thompson,Los Angeles,QB,Quarterback,QB,Offense,24,75,218,2,1-4 Yrs,South Carolina,NA
Jared Goff,Los Angeles,QB,Quarterback,QB,Offense,21,76,215,0,Rookie,California,16
Nick Foles,Los Angeles,QB,Quarterback,QB,Offense,27,78,243,5,5-8 Yrs,Arizona,5
Sean Mannion,Los Angeles,QB,Quarterback,QB,Offense,24,78,233,2,1-4 Yrs,Oregon State,14
Chase Reynolds,Los Angeles,RB,Running Back,Tailback,Offense,28,72,205,4,1-4 Yrs,Montana,34
Tre Mason,Los Angeles,RB,Running Back,Tailback,Offense,22,68,207,3,1-4 Yrs,Auburn,27
Terrence Magee,Los Angeles,RB,Running Back,Tailback,Offense,23,69,215,3,1-4 Yrs,LSU,NA
Benjamin Cunningham,Los Angeles,RB,Running Back,Tailback,Offense,26,70,217,4,1-4 Yrs,Middle Tennessee,36
Aaron Green,Los Angeles,RB,Running Back,Tailback,Offense,23,70,203,0,Rookie,TCU,NA
Malcolm Brown,Los Angeles,RB,Running Back,Tailback,Offense,23,71,224,1,1-4 Yrs,Texas,39
Todd Gurley,Los Angeles,RB,Running Back,Tailback,Offense,21,73,227,2,1-4 Yrs,Georgia,30
Christian Bryant,Los Angeles,S,Safety,Defensive Back,Defense,24,69,198,2,1-4 Yrs,Ohio State,37
Cody Davis,Los Angeles,S,Safety,Defensive Back,Defense,27,73,206,4,1-4 Yrs,Texas Tech,38
T.J. McDonald,Los Angeles,S,Safety,Defensive Back,Defense,25,74,217,4,1-4 Yrs,USC,25
Maurice Alexander,Los Angeles,SS,Strong Safety,Defensive Back,Defense,25,73,220,3,1-4 Yrs,Utah State,31
Mark Barron,Los Angeles,SS,Strong Safety,Defensive Back,Defense,26,74,213,5,5-8 Yrs,Alabama,26
Lance Kendricks,Los Angeles,TE,Tight End,Tight End,Offense,28,75,250,6,5-8 Yrs,Wisconsin,88
Cory Harkey,Los Angeles,TE,Tight End,Tight End,Offense,26,76,259,5,5-8 Yrs,UCLA,46
Tyler Higbee,Los Angeles,TE,Tight End,Tight End,Offense,23,76,243,0,Rookie,Western Kentucky,82
Benson Browne,Los Angeles,TE,Tight End,Tight End,Offense,NA,77,254,0,Rookie,NC State,NA
Temarrick Hemingway,Los Angeles,TE,Tight End,Tight End,Offense,22,77,244,0,Rookie,South Carolina State,87
Nelson Spruce,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,23,72,196,0,Rookie,Colorado,NA
Tavon Austin,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,25,68,176,4,1-4 Yrs,West Virginia,11
Bradley Marquez,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,23,70,196,2,1-4 Yrs,Texas Tech,15
Pharoh Cooper,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,21,71,207,0,Rookie,South Carolina,11
Paul McRoberts,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,23,73,202,0,Rookie,Southeast Missouri State,NA
Michael Thomas,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,21,73,200,0,Rookie,Southern Mississippi,88
Kenny Britt,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,27,75,223,8,5-8 Yrs,Rutgers,18
Brian Quick,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,27,75,218,5,5-8 Yrs,Appalachian State,83
Marquez North,Los Angeles,WR,Wide Receiver,Wide Receiver,Offense,21,76,224,0,Rookie,Tennessee,NA
Jacques McClendon,Miami,C,Center,Offensive Line,Offense,28,75,324,4,1-4 Yrs,Tennessee,66
Mike Pouncey,Miami,C,Center,Offensive Line,Offense,26,77,305,6,5-8 Yrs,Florida,51
Chimdi Chekwa,Miami,CB,Cornerback,Defensive Back,Defense,27,72,190,4,1-4 Yrs,Ohio State,NA
Xavien Howard,Miami,CB,Cornerback,Defensive Back,Defense,23,72,201,0,Rookie,Baylor,4
Bobby McCain,Miami,CB,Cornerback,Defensive Back,Defense,22,69,196,2,1-4 Yrs,Memphis,28
Tyler Patmon,Miami,CB,Cornerback,Defensive Back,Defense,25,70,188,3,1-4 Yrs,Oklahoma State,29
Byron Maxwell,Miami,CB,Cornerback,Defensive Back,Defense,28,73,207,6,5-8 Yrs,Clemson,31
Tony Lippett,Miami,CB,Cornerback,Defensive Back,Defense,24,74,200,2,1-4 Yrs,Michigan State,36
Ifo Ekpre-Olomu,Miami,DB,Defensive Back,Defensive Back,Defense,23,69,194,1,1-4 Yrs,Oregon,NA
Lafayette Pitts,Miami,DB,Defensive Back,Defensive Back,Defense,23,71,194,0,Rookie,Pittsburgh,NA
Julius Warmsley,Miami,DE,Defensive End,Front Seven,Defense,26,74,276,1,1-4 Yrs,Tulane,73
Jordan Williams,Miami,DE,Defensive End,Front Seven,Defense,23,74,282,1,1-4 Yrs,Tennessee,69
Cameron Wake,Miami,DE,Defensive End,Front Seven,Defense,34,75,270,8,5-8 Yrs,Penn State,91
Cleyon Laing,Miami,DE,Defensive End,Front Seven,Defense,25,75,280,1,1-4 Yrs,Iowa State,NA
Terrence Fede,Miami,DE,Defensive End,Front Seven,Defense,24,76,278,3,1-4 Yrs,Marist,78
Farrington Huguenin,Miami,DE,Defensive End,Front Seven,Defense,24,76,271,0,Rookie,Kentucky,NA
Andre Branch,Miami,DE,Defensive End,Front Seven,Defense,27,77,265,5,5-8 Yrs,Clemson,NA
Mario Williams,Miami,DE,Defensive End,Front Seven,Defense,31,78,292,11,9-12 Yrs,NC State,94
Dion Jordan,Miami,DE,Defensive End,Front Seven,Defense,26,78,275,3,1-4 Yrs,Oregon,95
Earl Mitchell,Miami,DT,Defensive Tackle,Front Seven,Defense,28,75,310,7,5-8 Yrs,Arizona,90
Deandre Coleman,Miami,DT,Defensive Tackle,Front Seven,Defense,25,75,324,1,1-4 Yrs,California,62
Ndamukong Suh,Miami,DT,Defensive Tackle,Front Seven,Defense,29,76,320,7,5-8 Yrs,Nebraska,93
Jordan Phillips,Miami,DT,Defensive Tackle,Front Seven,Defense,23,78,330,2,1-4 Yrs,Oklahoma,97
Chris Jones,Miami,DT,Defensive Tackle,Front Seven,Defense,26,73,295,4,1-4 Yrs,Bowling Green,NA
Anthony Steen,Miami,G,Guard,Offensive Line,Offense,26,75,309,1,1-4 Yrs,Alabama,82
Jamil Douglas,Miami,G,Guard,Offensive Line,Offense,24,76,310,2,1-4 Yrs,Arizona State,75
Kraig Urbik,Miami,G,Guard,Offensive Line,Offense,30,77,324,8,5-8 Yrs,Wisconsin,NA
Dallas Thomas,Miami,G,Guard,Offensive Line,Offense,26,77,315,4,1-4 Yrs,Tennessee,63
Billy Turner,Miami,G,Guard,Offensive Line,Offense,24,77,302,2,1-4 Yrs,North Dakota State,77
Mike Hull,Miami,LB,Linebacker,Front Seven,Defense,25,72,237,1,1-4 Yrs,Penn State,45
Jelani Jenkins,Miami,LB,Linebacker,Front Seven,Defense,24,72,243,4,1-4 Yrs,Florida,53
James Burgess,Miami,LB,Linebacker,Front Seven,Defense,22,71,227,0,Rookie,Louisville,NA
James-Michael Johnson,Miami,LB,Linebacker,Front Seven,Defense,26,73,240,5,5-8 Yrs,Nevada,56
Spencer Paysinger,Miami,LB,Linebacker,Front Seven,Defense,28,74,250,6,5-8 Yrs,Oregon,42
Zach Vigil,Miami,LB,Linebacker,Front Seven,Defense,25,74,240,2,1-4 Yrs,Utah State,49
Neville Hewitt,Miami,LB,Linebacker,Front Seven,Defense,23,74,235,2,1-4 Yrs,Marshall,46
Koa Misi,Miami,LB,Linebacker,Front Seven,Defense,29,75,255,7,5-8 Yrs,Utah,55
Kiko Alonso,Miami,LB,Linebacker,Front Seven,Defense,25,75,238,4,1-4 Yrs,Oregon,50
Akil Blount,Miami,LB,Linebacker,Front Seven,Defense,22,75,225,0,Rookie,Florida A&M,NA
Tyler Gray,Miami,LB,Linebacker,Front Seven,Defense,23,76,232,0,Rookie,Boise State,NA
Chris McCain,Miami,LB,Linebacker,Front Seven,Defense,24,77,245,3,1-4 Yrs,California,58
Ryan DiSalvo,Miami,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,22,76,249,0,Rookie,San Jose State,NA
John Denney,Miami,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,37,77,252,12,9-12 Yrs,BYU,92
Vinston Painter,Miami,OL,Offensive Line,Offensive Line,Offense,26,76,310,2,1-4 Yrs,Virginia Tech,81
Ruben Carter,Miami,OL,Offensive Line,Offensive Line,Offense,23,76,306,0,Rookie,Toledo,NA
Ulrick John,Miami,OL,Offensive Line,Offensive Line,Offense,24,80,300,3,1-4 Yrs,Georgia State,68
Branden Albert,Miami,OT,Offensive Tackle,Offensive Line,Offense,31,77,320,9,9-12 Yrs,Virginia,76
Jermon Bushrod,Miami,OT,Offensive Tackle,Offensive Line,Offense,31,77,320,10,9-12 Yrs,Towson,74
Laremy Tunsil,Miami,OT,Offensive Tackle,Offensive Line,Offense,21,77,305,0,Rookie,Ole Miss,78
Ja'Wuan James,Miami,OT,Offensive Tackle,Offensive Line,Offense,24,78,315,3,1-4 Yrs,Tennessee,70
Sam Young,Miami,OT,Offensive Tackle,Offensive Line,Offense,29,80,320,7,5-8 Yrs,Notre Dame,NA
Matt Darr,Miami,P,Punter,Special Teams,Special Teams,24,73,220,2,1-4 Yrs,Tennessee,4
Andrew Franks,Miami,PK,Place Kicker,Special Teams,Special Teams,23,73,205,2,1-4 Yrs,Rensselaer,3
Brandon Doughty,Miami,QB,Quarterback,QB,Offense,24,74,216,0,Rookie,Western Kentucky,12
Matt Moore,Miami,QB,Quarterback,QB,Offense,31,75,220,9,9-12 Yrs,Oregon State,8
Zac Dysert,Miami,QB,Quarterback,QB,Offense,26,75,221,2,1-4 Yrs,Miami (OH),2
Ryan Tannehill,Miami,QB,Quarterback,QB,Offense,27,76,220,5,5-8 Yrs,Texas A&M,17
Jay Ajayi,Miami,RB,Running Back,Tailback,Offense,23,72,228,2,1-4 Yrs,Boise State,23
Kenyan Drake,Miami,RB,Running Back,Tailback,Offense,22,72,210,0,Rookie,Alabama,17
Isaiah Pead,Miami,RB,Running Back,Tailback,Offense,26,70,204,4,1-4 Yrs,Cincinnati,NA
Damien Williams,Miami,RB,Running Back,Tailback,Offense,24,71,225,3,1-4 Yrs,Oklahoma,34
Arian Foster,Miami,RB,Running Back,Tailback,Offense,29,73,227,8,5-8 Yrs,Tennessee,NA
Daniel Thomas,Miami,RB,Running Back,Tailback,Offense,28,73,235,5,5-8 Yrs,Kansas State,NA
Shamiel Gary,Miami,S,Safety,Defensive Back,Defense,26,72,205,2,1-4 Yrs,Oklahoma State,27
Jordan Lucas,Miami,S,Safety,Defensive Back,Defense,22,72,201,0,Rookie,Penn State,9
Michael Thomas,Miami,S,Safety,Defensive Back,Defense,26,71,201,4,1-4 Yrs,Stanford,31
Reshad Jones,Miami,S,Safety,Defensive Back,Defense,28,73,218,7,5-8 Yrs,Georgia,20
Isa Abdul-Quddus,Miami,S,Safety,Defensive Back,Defense,26,73,201,6,5-8 Yrs,Fordham,NA
Walt Aikens,Miami,S,Safety,Defensive Back,Defense,25,73,208,3,1-4 Yrs,Liberty,35
A.J. Hendy,Miami,S,Safety,Defensive Back,Defense,23,73,201,0,Rookie,Maryland,NA
Dominique Jones,Miami,TE,Tight End,Tight End,Offense,28,75,270,4,1-4 Yrs,Shepherd,99
Jake Stoneburner,Miami,TE,Tight End,Tight End,Offense,26,75,250,3,1-4 Yrs,Ohio State,86
Thomas Duarte,Miami,TE,Tight End,Tight End,Offense,21,75,225,0,Rookie,UCLA,18
MarQueis Gray,Miami,TE,Tight End,Tight End,Offense,26,76,242,4,1-4 Yrs,Minnesota,48
Dion Sims,Miami,TE,Tight End,Tight End,Offense,25,76,268,4,1-4 Yrs,Michigan State,80
Gabe Hughes,Miami,TE,Tight End,Tight End,Offense,22,76,240,0,Rookie,Florida Tech,NA
Jordan Cameron,Miami,TE,Tight End,Tight End,Offense,27,77,260,6,5-8 Yrs,USC,84
Kenny Stills,Miami,WR,Wide Receiver,Wide Receiver,Offense,24,72,198,4,1-4 Yrs,Oklahoma,10
Jakeem Grant,Miami,WR,Wide Receiver,Wide Receiver,Offense,23,66,165,0,Rookie,Texas Tech,11
A.J. Cruz,Miami,WR,Wide Receiver,Wide Receiver,Offense,25,69,195,0,Rookie,Brown,NA
Griff Whalen,Miami,WR,Wide Receiver,Wide Receiver,Offense,26,71,190,5,5-8 Yrs,Stanford,17
Jarvis Landry,Miami,WR,Wide Receiver,Wide Receiver,Offense,23,71,202,3,1-4 Yrs,LSU,14
Leonte Carroo,Miami,WR,Wide Receiver,Wide Receiver,Offense,22,71,217,0,Rookie,Rutgers,4
Brandon Shippen,Miami,WR,Wide Receiver,Wide Receiver,Offense,22,71,185,0,Rookie,Temple,NA
Matt Hazel,Miami,WR,Wide Receiver,Wide Receiver,Offense,24,73,205,2,1-4 Yrs,Coastal Carolina,83
Tyler Murphy,Miami,WR,Wide Receiver,Wide Receiver,Offense,24,73,214,1,1-4 Yrs,Boston College,19
Rashawn Scott,Miami,WR,Wide Receiver,Wide Receiver,Offense,24,74,203,0,Rookie,Miami,NA
DeVante Parker,Miami,WR,Wide Receiver,Wide Receiver,Offense,23,75,218,2,1-4 Yrs,Louisville,11
Nicholas Easton,Minnesota,C,Center,Offensive Line,Offense,24,75,303,2,1-4 Yrs,Harvard,62
John Sullivan,Minnesota,C,Center,Offensive Line,Offense,30,76,310,8,5-8 Yrs,Notre Dame,65
Joe Berger,Minnesota,C,Center,Offensive Line,Offense,34,77,305,12,9-12 Yrs,Michigan Tech,61
Kevin McDermott,Minnesota,C,Center,Offensive Line,Offense,26,77,240,4,1-4 Yrs,UCLA,47
Zac Kerin,Minnesota,C,Center,Offensive Line,Offense,24,77,305,2,1-4 Yrs,Toledo,67
Keith Baxter,Minnesota,CB,Cornerback,Defensive Back,Defense,24,72,193,0,Rookie,Marshall,NA
Trae Waynes,Minnesota,CB,Cornerback,Defensive Back,Defense,23,72,190,2,1-4 Yrs,Michigan State,26
Captain Munnerlyn,Minnesota,CB,Cornerback,Defensive Back,Defense,28,69,195,8,5-8 Yrs,South Carolina,24
Terence Newman,Minnesota,CB,Cornerback,Defensive Back,Defense,37,70,197,14,13+ Yrs,Kansas State,23
Marcus Sherels,Minnesota,CB,Cornerback,Defensive Back,Defense,28,70,175,6,5-8 Yrs,Minnesota,35
Mackensie Alexander,Minnesota,CB,Cornerback,Defensive Back,Defense,22,70,190,0,Rookie,Clemson,2
Jabari Price,Minnesota,CB,Cornerback,Defensive Back,Defense,23,71,200,3,1-4 Yrs,North Carolina,25
Xavier Rhodes,Minnesota,CB,Cornerback,Defensive Back,Defense,26,73,218,4,1-4 Yrs,Florida State,29
Melvin White,Minnesota,CB,Cornerback,Defensive Back,Defense,26,73,215,3,1-4 Yrs,Louisiana Lafayette,NA
Tre Roberson,Minnesota,CB,Cornerback,Defensive Back,Defense,23,73,201,0,Rookie,Illinois State,NA
Brian Robison,Minnesota,DE,Defensive End,Front Seven,Defense,33,75,259,10,9-12 Yrs,Texas,96
Everson Griffen,Minnesota,DE,Defensive End,Front Seven,Defense,28,75,273,7,5-8 Yrs,USC,97
Scott Crichton,Minnesota,DE,Defensive End,Front Seven,Defense,24,75,273,3,1-4 Yrs,Oregon State,95
Denzell Perine,Minnesota,DE,Defensive End,Front Seven,Defense,23,75,256,0,Rookie,Florida Atlantic,NA
Justin Trattou,Minnesota,DE,Defensive End,Front Seven,Defense,27,76,258,5,5-8 Yrs,Florida,94
Theiren Cockran,Minnesota,DE,Defensive End,Front Seven,Defense,23,76,252,0,Rookie,Minnesota,NA
Danielle Hunter,Minnesota,DE,Defensive End,Front Seven,Defense,21,77,252,2,1-4 Yrs,LSU,99
Zach Moore,Minnesota,DE,Defensive End,Front Seven,Defense,25,78,280,2,1-4 Yrs,Concordia-St. Paul,91
Tom Johnson,Minnesota,DT,Defensive Tackle,Front Seven,Defense,31,75,288,6,5-8 Yrs,Southern Mississippi,92
Sharrif Floyd,Minnesota,DT,Defensive Tackle,Front Seven,Defense,25,75,311,4,1-4 Yrs,Florida,73
Toby Johnson,Minnesota,DT,Defensive Tackle,Front Seven,Defense,24,75,312,1,1-4 Yrs,Georgia,69
Kenrick Ellis,Minnesota,DT,Defensive Tackle,Front Seven,Defense,28,76,346,6,5-8 Yrs,Hampton,72
Linval Joseph,Minnesota,DT,Defensive Tackle,Front Seven,Defense,27,76,329,7,5-8 Yrs,East Carolina,98
Isame Faciane,Minnesota,DT,Defensive Tackle,Front Seven,Defense,25,76,302,1,1-4 Yrs,Florida Intl,76
Travis Raciti,Minnesota,DT,Defensive Tackle,Front Seven,Defense,24,76,292,1,1-4 Yrs,San Jose State,NA
Shamar Stephen,Minnesota,DT,Defensive Tackle,Front Seven,Defense,25,77,310,3,1-4 Yrs,Connecticut,93
Zach Line,Minnesota,FB,Fullback,Tailback,Offense,26,73,233,4,1-4 Yrs,SMU,48
Blake Renaud,Minnesota,FB,Fullback,Tailback,Offense,23,73,252,1,1-4 Yrs,Boise State,49
Harrison Smith,Minnesota,FS,Free Safety,Defensive Back,Defense,27,74,214,5,5-8 Yrs,Notre Dame,22
Mike Harris,Minnesota,G,Guard,Offensive Line,Offense,27,77,338,5,5-8 Yrs,UCLA,79
Jeremiah Sirles,Minnesota,G,Guard,Offensive Line,Offense,24,78,315,3,1-4 Yrs,Nebraska,78
Alex Boone,Minnesota,G,Guard,Offensive Line,Offense,29,80,300,7,5-8 Yrs,Ohio State,76
Eric Kendricks,Minnesota,LB,Linebacker,Front Seven,Defense,24,72,232,2,1-4 Yrs,UCLA,54
Kentrell Brothers,Minnesota,LB,Linebacker,Front Seven,Defense,23,72,245,0,Rookie,Missouri,10
Jake Ganus,Minnesota,LB,Linebacker,Front Seven,Defense,23,73,231,0,Rookie,Georgia,NA
